원소명, ,Al,Si,S,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,W,Zn,Au,Hg,Bi,Se,As,Br,Pb,Sr,Mo,Ag,Cd,Sn,Sb,Ba_start,Ba_middle,Ba_end
원소명, ,Al,Si,S,K,Ca,Ba,Ti,Cr,Mn,Fe,Ni,Cu,W,Zn,Au,Hg,Bi,Se,As,Br,Pb,Sr,Mo,Ag,Cd,Sn,Sb,Ba_start,Ba_middle,Ba_end
 ,PAINTING_FAMILY_135-XRF.csv,313,649,49087,1998,3048,1796,1864,3625,3156,6309,142,140,214,20276,801,868,1366,3481,740,1069,176175,424,105,281,3241,547,255,185,159,103
 ,PAINTING_FAMILY_136-XRF.csv,326,616,48696,2206,2958,1843,1901,3605,3073,6217,128,159,253,28445,1073,843,1313,3073,728,1073,168885,380,131,287,3375,570,372,183,146,147
 ,PAINTING_FAMILY_137-XRF.csv,345,737,50566,2273,3270,1915,1861,3597,3167,7663,134,139,162,14039,644,803,1329,4690,655,973,167156,430,146,353,6713,625,340,168,200,119
 ,PAINTING_FAMILY_138-XRF.csv,379,668,47234,1788,2962,1553,1481,3070,2510,6701,54,54,136,34644,1558,929,1941,4156,738,1312,265558,464,82,464,10964,546,765,328,218,300
 ,PAINTING_FAMILY_139-XRF.csv,252,559,50160,1174,2763,1426,1481,3034,2745,8038,218,273,300,59772,1832,1421,1749,4429,1312,1558,236192,710,164,410,7355,300,683,164,437,27
 ,PAINTING_FAMILY_140-XRF.csv,614,1318,24945,5039,128482,3504,3413,5364,7965,100087,136,2132,738,100514,2269,8831,1121,3390,4292,5605,130701,1039,191,765,4429,437,792,218,164,273
 ,PAINTING_FAMILY_141-XRF.csv,307,1878,19977,4895,194303,3702,3594,3016,10928,87786,136,4320,492,62671,1312,5031,902,2078,4238,4046,132888,1339,300,437,5578,765,820,328,410,300
 ,PAINTING_FAMILY_142-XRF.csv,381,1444,50923,2955,17754,2234,2116,4684,4686,39186,104,185,314,46266,1432,1529,978,2621,1093,1508,115128,630,208,485,7218,584,497,196,228,150
 ,PAINTING_FAMILY_143-XRF.csv,430,1417,52856,2690,16054,2124,2088,3611,4416,37170,131,191,281,33632,1032,1232,1037,1850,954,1299,138855,511,181,370,3561,564,394,208,231,140
 ,PAINTING_FAMILY_144-XRF.csv,446,2355,20041,4612,146183,3274,3280,3233,15170,92514,126,1668,298,43789,1311,2491,707,1730,2191,2361,91852,766,208,462,5744,609,427,202,231,135
 ,PAINTING_FAMILY_145-XRF.csv,506,1890,24860,6188,104456,3137,3013,5810,13287,82300,115,391,429,58025,1558,4495,502,1944,2455,3502,48642,863,368,714,5976,611,605,267,286,159
 ,PAINTING_FAMILY_146-XRF.csv,453,2232,18508,5242,145573,3354,3220,5590,15009,89930,153,1229,536,76555,1875,4067,386,1709,2639,3240,41954,898,423,664,6078,657,607,257,279,165
 ,PAINTING_FAMILY_147-XRF.csv,424,1520,15041,3575,180634,3423,3222,4602,10965,84441,124,2693,344,46863,1169,3287,649,1585,2827,2662,90846,979,214,460,3124,589,425,213,214,181
 ,PAINTING_FAMILY_148-XRF.csv,325,885,53448,3901,4479,2041,1752,4497,2835,9446,218,191,136,17964,738,1613,1914,13671,1394,2050,258586,683,191,437,9542,464,710,191,218,164
 ,PAINTING_FAMILY_149-XRF.csv,379,704,47072,4009,6972,2059,2131,5364,3052,7676,82,136,300,24745,1175,1312,1941,14163,1093,1421,265449,738,218,519,9351,410,437,382,136,246
 ,PAINTING_FAMILY_150-XRF.csv,487,614,13709,4046,126856,3233,3233,2637,2781,7080,82,218,601,118615,3171,1121,1339,4675,1175,1613,206934,902,191,355,4894,246,519,218,136,136
 ,PAINTING_FAMILY_151-XRF.csv,1463,2239,44164,23373,36180,1517,1571,2619,2059,8995,109,164,382,28054,1175,4265,1285,20945,2597,3773,204145,792,273,738,16023,437,656,382,382,109
 ,PAINTING_FAMILY_152-XRF.csv,740,1896,51732,10115,22596,1932,1535,2330,3684,23066,246,273,54,13288,902,1585,1859,7738,820,1476,265695,792,218,355,6535,519,437,300,328,164
 ,PAINTING_FAMILY_153-XRF.csv,413,975,52453,1701,3705,1955,1920,5479,3541,7044,122,129,128,1990,318,788,1610,1586,652,981,203083,353,113,197,1696,644,195,133,126,103
 ,PAINTING_FAMILY_154-XRF.csv,467,1538,56161,2166,7682,2083,2105,5767,3759,9326,103,121,149,6448,421,1294,1411,1374,897,1343,184436,443,127,297,1628,673,327,196,187,146
 ,PAINTING_FAMILY_158-XRF.csv,335,956,50113,3767,7247,2052,2030,4805,4300,21759,143,161,239,27662,955,1864,1158,2851,1206,1821,144826,565,132,357,7308,518,491,188,192,143
 ,PAINTING_FAMILY_159-XRF.csv,430,890,45946,5535,7359,2437,2339,7118,4703,25098,128,157,481,76563,1978,1483,935,3080,944,1437,111068,486,175,462,9673,509,603,192,220,145
 ,PAINTING_FAMILY_160-col-XRF.csv,397,3106,23301,6773,36216,4262,4100,5346,26426,119793,191,273,710,60374,1695,8230,874,3527,3636,5988,153040,1203,273,546,7109,656,847,382,136,382
 ,PAINTING_FAMILY_160-XRF.csv,487,2420,28160,8381,34102,3016,2835,4371,19074,83577,191,246,792,84518,1941,4593,1312,5413,3335,5496,160751,1449,136,218,16952,683,1121,218,273,246
 ,PAINTING_FAMILY_161-XRF.csv,397,3106,23301,6773,36216,4262,4100,5346,26426,119793,191,273,710,60374,1695,8230,874,3527,3636,5988,153040,1203,273,546,7109,656,847,382,136,382
